epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,762.32,0.40096,0.46114,0.92225,0.66088,1,0.70414,0.66656,0.34162,0.48321,0.86875,0.000749939,0.000749939,0.000749939
74,772.782,0.3895,0.44789,0.92642,0.66018,1,0.71337,0.68117,0.33174,0.46818,0.85391,0.000740508,0.000740508,0.000740508
75,783.222,0.41174,0.46506,0.93734,0.65809,0.98889,0.70424,0.67481,0.33669,0.4889,0.8537,0.000731076,0.000731076,0.000731076
76,793.61,0.39397,0.45441,0.92689,0.65412,0.99444,0.684,0.65492,0.33193,0.47651,0.8506,0.000721645,0.000721645,0.000721645
77,803.95,0.39467,0.45874,0.93065,0.64625,0.9897,0.67493,0.64371,0.33318,0.48626,0.84665,0.000712214,0.000712214,0.000712214
78,814.351,0.40591,0.44412,0.92991,0.65533,1,0.69356,0.6643,0.33408,0.47048,0.84964,0.000702782,0.000702782,0.000702782
79,824.629,0.40341,0.45334,0.93346,0.66181,0.99925,0.67134,0.63225,0.34711,0.48297,0.8621,0.000693351,0.000693351,0.000693351
80,835.065,0.40025,0.44506,0.93135,0.65814,1,0.69783,0.66747,0.32928,0.47585,0.85682,0.000683919,0.000683919,0.000683919
81,845.382,0.39905,0.47254,0.92789,0.65968,1,0.68812,0.65648,0.327,0.47971,0.85447,0.000674488,0.000674488,0.000674488
82,855.861,0.402,0.45907,0.93501,0.65815,0.9977,0.70543,0.67004,0.36436,0.48482,0.87314,0.000665057,0.000665057,0.000665057
83,866.523,0.40351,0.46031,0.93573,0.66071,0.99444,0.68586,0.65738,0.34021,0.47234,0.85317,0.000655625,0.000655625,0.000655625
84,876.937,0.40458,0.45498,0.93635,0.65383,0.99856,0.66986,0.64078,0.33492,0.48254,0.85846,0.000646194,0.000646194,0.000646194
85,887.738,0.38933,0.45017,0.93195,0.65383,1,0.70199,0.66653,0.34205,0.47328,0.85794,0.000636762,0.000636762,0.000636762
86,898.451,0.3961,0.45508,0.93689,0.65493,1,0.67677,0.64729,0.33058,0.47155,0.85196,0.000627331,0.000627331,0.000627331
87,909.192,0.39039,0.44113,0.92884,0.65597,1,0.67697,0.64556,0.33736,0.46812,0.86165,0.0006179,0.0006179,0.0006179
88,920.121,0.39239,0.46141,0.92845,0.65745,1,0.70356,0.67794,0.31581,0.459,0.84371,0.000608468,0.000608468,0.000608468
89,931.282,0.38657,0.45906,0.92373,0.65518,1,0.69381,0.66767,0.31549,0.46695,0.8437,0.000599037,0.000599037,0.000599037
90,942.147,0.3848,0.44039,0.92594,0.65656,0.9959,0.68179,0.65096,0.35009,0.48249,0.87513,0.000589605,0.000589605,0.000589605
91,953.114,0.37946,0.438,0.9199,0.6594,0.99496,0.67999,0.65284,0.32214,0.47061,0.84383,0.000580174,0.000580174,0.000580174
92,963.627,0.37707,0.44514,0.91791,0.65679,0.99914,0.66721,0.63995,0.32578,0.46551,0.85389,0.000570743,0.000570743,0.000570743
93,973.961,0.38824,0.44249,0.93096,0.65533,0.99854,0.67946,0.65078,0.32587,0.47639,0.84875,0.000561311,0.000561311,0.000561311
94,984.279,0.39269,0.44712,0.93019,0.6599,1,0.66916,0.63908,0.33033,0.4613,0.84863,0.00055188,0.00055188,0.00055188
